id,category,task,value,date,day
2867,health,IF,5,2018/12/03,sunday
2591,health,Juice,3,2018/12/03,thursday
2590,health,IF,5,2018/12/03,thursday
2526,health,Wake up 5 am,5,2018/12/03,tuesday
2525,health,Meditate,5,2018/12/03,tuesday
2524,health,Juice,3,2018/12/03,tuesday
2523,health,IF,5,2018/12/03,tuesday
2322,health,Ski,8,2018/12/03,wednesday
2321,health,Wake up 5 am,5,2018/12/03,wednesday
2320,health,Meditate,5,2018/12/03,wednesday
2319,health,Juice,3,2018/12/03,wednesday
2318,health,IF,5,2018/12/03,wednesday
2106,gear lift,Debug proxy ,3,2018/12/03,friday
2105,gear lift,Reply to Ben,3,2018/12/03,friday
2104,gear lift,Reply to Rest of Emails,3,2018/12/03,friday
2103,gear lift,reply to oakley,3,2018/12/03,friday
2102,gear lift,Text links,5,2018/12/03,friday
1980,gear lift,Look inot event handlers,3,2018/12/03,monday
1979,gear lift,Data reconcilation,5,2018/12/03,monday
1978,gear lift,Data reconcileation,5,2018/12/03,monday
1977,gear lift,Ruby update,5,2018/12/03,monday
1976,gear lift,data report,5,2018/12/03,monday
1733,gear lift,Remove signup if no results,3,2018/12/03,thursday
1683,gear lift,Call with Tim,3,2018/12/03,thursday
1682,gear lift,Fix More results less filters,3,2018/12/03,thursday
1681,gear lift,Email SAI,3,2018/12/03,thursday
1680,gear lift,Clean up questionaire from limited results,5,2018/12/03,thursday
1679,gear lift,Purchase Followliker,3,2018/12/03,thursday
1678,gear lift,Unlock dki profile amdin,3,2018/12/03,thursday
1677,gear lift,Text stepehn,3,2018/12/03,thursday
1575,gear lift,Eliot call,5,2018/12/03,tuesday
1574,gear lift,Fix Results upate,5,2018/12/03,tuesday
1573,gear lift,Updtate gems,3,2018/12/03,tuesday
7606,snowmass,Check finances,2,2018/11/26,monday
7605,snowmass,Sign sublease and sendback,3,2018/11/26,monday
6469,personal,Upload workouts,3,2018/11/26,monday
5188,personal,EJ dinner,5,2018/11/26,thursday
3401,health,Wake up 5 am,5,2018/11/26,friday
3400,health,Meditate,5,2018/11/26,friday
3399,health,Juice,3,2018/11/26,friday
3398,health,IF,5,2018/11/26,friday
3230,health,Wake up 5 am,5,2018/11/26,monday
3229,health,Meditate,5,2018/11/26,monday
3228,health,Juice,3,2018/11/26,monday
3227,health,IF,5,2018/11/26,monday
3226,health,Run 3 Miles,5,2018/11/26,monday
3000,health,Juice,3,2018/11/26,saturday
2999,health,IF,5,2018/11/26,saturday
2866,health,Juice,3,2018/11/26,sunday
2865,health,IF,5,2018/11/26,sunday
2589,health,Wake up 5 am,5,2018/11/26,thursday
2588,health,Meditate,5,2018/11/26,thursday
2587,health,Juice,3,2018/11/26,thursday
2586,health,IF,5,2018/11/26,thursday
2522,health,Wake up 5 am,5,2018/11/26,tuesday
2521,health,Meditate,5,2018/11/26,tuesday
2520,health,Juice,3,2018/11/26,tuesday
2519,health,IF,5,2018/11/26,tuesday
2317,health,Wake up 5 am,5,2018/11/26,wednesday
2316,health,Meditate,5,2018/11/26,wednesday
2315,health,Juice,3,2018/11/26,wednesday
2314,health,IF,5,2018/11/26,wednesday
2313,health,Lift arms,5,2018/11/26,wednesday
2101,gear lift,Replace images,5,2018/11/26,friday
2100,gear lift,Favicon #2,3,2018/11/26,friday
1975,gear lift,Email chris natzki,3,2018/11/26,monday
1974,gear lift,Rescrape,3,2018/11/26,monday
1973,gear lift,Reply to Dependent care,3,2018/11/26,monday
1972,gear lift,Upate linkedin profile,3,2018/11/26,monday
1971,gear lift,Gear Rank width on show page,3,2018/11/26,monday
1970,gear lift,Create list of gear lift,3,2018/11/26,monday
1969,gear lift,Security updates,3,2018/11/26,monday
1968,gear lift,Duplicate content,3,2018/11/26,monday
1967,gear lift,Top picks and else,5,2018/11/26,monday
1966,gear lift,Scrape new skis,3,2018/11/26,monday
1965,gear lift,Naked domain,3,2018/11/26,monday
1964,gear lift,Venmo,3,2018/11/26,monday
1963,gear lift,Gear Rank,3,2018/11/26,monday
1962,gear lift,look at what has been submitted,3,2018/11/26,monday
1961,gear lift,Import skis,3,2018/11/26,monday
1732,gear lift,Fix Skill level to words,2,2018/11/26,thursday
1676,gear lift,Dog pop,3,2018/11/26,thursday
1675,gear lift,Clean up broken skis prices,3,2018/11/26,thursday
1674,gear lift,Import skis new,3,2018/11/26,thursday
1673,gear lift,Fix description,3,2018/11/26,thursday
1672,gear lift,Favicon #1,3,2018/11/26,thursday
1671,gear lift,Check datees on venmo,3,2018/11/26,thursday
1670,gear lift,Submit all new dependent care,5,2018/11/26,thursday
1669,gear lift,Fix Mt bike issues,2,2018/11/26,thursday
1668,gear lift,Review all bank transactions,3,2018/11/26,thursday
1667,gear lift,Gem updates,5,2018/11/26,thursday
1572,gear lift,Fix modal,3,2018/11/26,tuesday
1413,gear lift,Trash,2,2018/11/26,wednesday
1412,gear lift,Send email out to eliot,8,2018/11/26,wednesday
1411,gear lift,Create list  of outreach,5,2018/11/26,wednesday
1410,gear lift,Respond to emails,5,2018/11/26,wednesday
1409,gear lift,Repond to emails,3,2018/11/26,wednesday
1408,gear lift,Backend tweaks,3,2018/11/26,wednesday
7721,vacation,Aspen,10,2018/11/19,friday
7706,vacation,Aspen,10,2018/11/19,saturday
7686,vacation,Aspen,10,2018/11/19,thursday
7681,vacation,Aspen,10,2018/11/19,wednesday
6468,personal,Grandparents night prep,3,2018/11/19,monday
6467,personal,Walk Frazz,2,2018/11/19,monday
6466,personal,Dependate care adina's office,3,2018/11/19,monday
6465,personal,Dependent Care,3,2018/11/19,monday
5968,personal,pick up dry cleaning,3,2018/11/19,saturday
5089,personal,Clean out car,2,2018/11/19,tuesday
5088,personal,stack firewood,3,2018/11/19,tuesday
4699,personal,pack for aspen,5,2018/11/19,wednesday
3397,health,Juice,3,2018/11/19,friday
3396,health,IF,5,2018/11/19,friday
3225,health,Wake up 5 am,5,2018/11/19,monday
3224,health,Juice,3,2018/11/19,monday
3223,health,IF,5,2018/11/19,monday
2998,health,Juice,3,2018/11/19,saturday
2997,health,IF,5,2018/11/19,saturday
2864,health,Juice,3,2018/11/19,sunday
2863,health,IF,5,2018/11/19,sunday
2585,health,Juice,3,2018/11/19,thursday
2584,health,IF,5,2018/11/19,thursday
2518,health,Juice,3,2018/11/19,tuesday
2517,health,IF,5,2018/11/19,tuesday
2312,health,Juice,3,2018/11/19,wednesday
2311,health,IF,5,2018/11/19,wednesday
2099,gear lift,Manually test profiles,8,2018/11/19,friday
2098,gear lift,Fix background design and Issues,3,2018/11/19,friday
2097,gear lift,backcountry,3,2018/11/19,friday
1960,gear lift,Bring back skiing style,3,2018/11/19,monday
1959,gear lift,Remove turn radius,3,2018/11/19,monday
1958,gear lift,Manually test all paths,5,2018/11/19,monday
1957,gear lift,Update ben,2,2018/11/19,monday
1956,gear lift,Reply to Eliot,2,2018/11/19,monday
1955,gear lift,Modal Static,5,2018/11/19,monday
1954,gear lift,Fix park path,3,2018/11/19,monday
1953,gear lift,Modal on Results page,3,2018/11/19,monday
1952,gear lift,Adjust alogrithm for ability,3,2018/11/19,monday
1951,gear lift,Confirm page,5,2018/11/19,monday
1769,gear lift,Reponsive issues on navbar,3,2018/11/19,saturday
1768,gear lift,Ski Gear Mag,3,2018/11/19,saturday
1767,gear lift,Free skier,3,2018/11/19,saturday
1571,gear lift,Email ben ,2,2018/11/19,tuesday
1570,gear lift,Easy going to tail profile,3,2018/11/19,tuesday
1569,gear lift,Price Questions if > 20,5,2018/11/19,tuesday
1568,gear lift,Clean up modal,3,2018/11/19,tuesday
1407,gear lift,Womens Image and edits,3,2018/11/19,wednesday
1406,gear lift,Safarie Navbar issue,2,2018/11/19,wednesday
1405,gear lift,No profile issues,2,2018/11/19,wednesday
6738,personal,Email Teachers,3,2018/11/12,friday
6464,personal,Pay green by nature,3,2018/11/12,monday
5967,personal,Put away firewood,5,2018/11/12,saturday
5818,personal,Pay Amex,2,2018/11/12,sunday
5817,personal,Reply to Joel,3,2018/11/12,sunday
5187,personal,Lunch with Chris,3,2018/11/12,thursday
5186,personal,Text Chris thank you,3,2018/11/12,thursday
5185,personal,Back to school night,3,2018/11/12,thursday
3395,health,Juice,3,2018/11/12,friday
3394,health,IF,5,2018/11/12,friday
3222,health,Wake up 5 am,5,2018/11/12,monday
3221,health,Meditate,5,2018/11/12,monday
3220,health,Lift legs,5,2018/11/12,monday
3219,health,Run 3 miles,5,2018/11/12,monday
3218,health,Juice,3,2018/11/12,monday
3217,health,IF,5,2018/11/12,monday
2996,health,Juice,3,2018/11/12,saturday
2995,health,IF,5,2018/11/12,saturday
2862,health,Juice,3,2018/11/12,sunday
2861,health,IF,5,2018/11/12,sunday
2583,health,Juice,3,2018/11/12,thursday
2582,health,IF,5,2018/11/12,thursday
2516,health,Juice,3,2018/11/12,tuesday
2515,health,IF,5,2018/11/12,tuesday
2310,health,Juice,3,2018/11/12,wednesday
2309,health,IF,5,2018/11/12,wednesday
2096,gear lift,Setup Mixmax,3,2018/11/12,friday
2095,gear lift,301 Redirects,5,2018/11/12,friday
2094,gear lift,Email eliot about call,2,2018/11/12,friday
2093,gear lift,Setup Redirects on Rails Dv1,3,2018/11/12,friday
2092,gear lift,Remove Boarder from news,3,2018/11/12,friday
1950,gear lift,Remove ski golde winnter database,3,2018/11/12,monday
1949,gear lift,Perment,5,2018/11/12,monday
1948,gear lift,Powder Gear Guide,3,2018/11/12,monday
1947,gear lift,Reply to Ben,2,2018/11/12,monday
1946,gear lift,Backcountry Gear Guide,3,2018/11/12,monday
1945,gear lift,Reivew Ben's comments,3,2018/11/12,monday
1944,gear lift,Ski Gear awards logo update,3,2018/11/12,monday
1943,gear lift,Refactor,2,2018/11/12,monday
1942,gear lift,Price Filter,5,2018/11/12,monday
1766,gear lift,Respond Samantha,3,2018/11/12,saturday
1765,gear lift,Clean slow repsonsivness,5,2018/11/12,saturday
1748,gear lift,rework questionaire,8,2018/11/12,sunday
1666,gear lift,Refactor tail,2,2018/11/12,thursday
1665,gear lift,Fix flywheel,5,2018/11/12,thursday
1664,gear lift,Topic picks,3,2018/11/12,thursday
1663,gear lift,Solve no results basic,3,2018/11/12,thursday
1662,gear lift,BC Year,3,2018/11/12,thursday
1567,gear lift,Price filter v2,5,2018/11/12,tuesday
1566,gear lift,Remove Freeride,5,2018/11/12,tuesday
1404,gear lift,Reconcile data,5,2018/11/12,wednesday
1403,gear lift,301 Redirects,5,2018/11/12,wednesday
1402,gear lift,Setup analytics,3,2018/11/12,wednesday
1401,gear lift,Setup Design of Backend,5,2018/11/12,wednesday
1400,gear lift,Reply to Josh,2,2018/11/12,wednesday
1399,gear lift,Fix Freeride Issue,3,2018/11/12,wednesday
1398,gear lift,Scrape skis,3,2018/11/12,wednesday
1397,gear lift,Import skis and validate,2,2018/11/12,wednesday
1396,gear lift,Data Feed and Validate,3,2018/11/12,wednesday
1395,gear lift,Call with Ben,5,2018/11/12,wednesday
6737,personal,Follow with Greg on ticks,2,2018/11/05,friday
5816,personal,Hot sauce,5,2018/11/05,sunday
5815,personal,Menu Groceries,5,2018/11/05,sunday
5814,personal,Keeping up with Jones,3,2018/11/05,sunday
5184,personal,Call Sante Fe sand and gravel,3,2018/11/05,thursday
4698,personal,Dog poop,3,2018/11/05,wednesday
4697,personal,Trash,2,2018/11/05,wednesday
3393,health,Juice,3,2018/11/05,friday
3392,health,IF,5,2018/11/05,friday
3216,health,Wake up 5 am,5,2018/11/05,monday
3215,health,Meditate,5,2018/11/05,monday
3214,health,Lift legs,5,2018/11/05,monday
3213,health,Run 5 miles,5,2018/11/05,monday
3212,health,Juice,3,2018/11/05,monday
3211,health,IF,5,2018/11/05,monday
2994,health,Juice,3,2018/11/05,saturday
2993,health,IF,5,2018/11/05,saturday
2860,health,Juice,3,2018/11/05,sunday
2859,health,IF,5,2018/11/05,sunday
2581,health,Juice,3,2018/11/05,thursday
2580,health,IF,5,2018/11/05,thursday
2514,health,Wake up 5 am,5,2018/11/05,tuesday
2513,health,Meditate,5,2018/11/05,tuesday
2512,health,Juice,3,2018/11/05,tuesday
2511,health,IF,5,2018/11/05,tuesday
2308,health,Wake up 5 am,5,2018/11/05,wednesday
2307,health,Meditate,5,2018/11/05,wednesday
2306,health,Juice,3,2018/11/05,wednesday
2305,health,IF,5,2018/11/05,wednesday
2091,gear lift,Skier speed vs length,3,2018/11/05,friday
2090,gear lift,Instacart Gear Lift match %,3,2018/11/05,friday
2089,gear lift,Test out turn speed,8,2018/11/05,friday
1941,gear lift,Setup Mixmax,3,2018/11/05,monday
1940,gear lift,Get By brand working,5,2018/11/05,monday
1939,gear lift,work on Filter of score,5,2018/11/05,monday
1938,gear lift,Clean up data,5,2018/11/05,monday
1661,gear lift,Provide Front end design feedback,5,2018/11/05,thursday
1660,gear lift,BC dimenions,5,2018/11/05,thursday
1565,gear lift,Work on Algorithm,8,2018/11/05,tuesday
1564,gear lift,Update size on soft snow,3,2018/11/05,tuesday
1394,gear lift,Determine price in Algorithm,5,2018/11/05,wednesday
1393,gear lift,Remove turn style from intermeidat,3,2018/11/05,wednesday
1392,gear lift,Calculating width in algorithm,5,2018/11/05,wednesday
1391,gear lift,Email eliot show ,3,2018/11/05,wednesday
1390,gear lift,Clean up side profile,3,2018/11/05,wednesday
1389,gear lift,Pick up magazines,5,2018/11/05,wednesday
1388,gear lift,Setup logos and work on fonts and colors,8,2018/11/05,wednesday
1387,gear lift,Fix skicom link,3,2018/11/05,wednesday
1386,gear lift,Remove Freed if intermediate,3,2018/11/05,wednesday
7546,snowmass,Call Plumber,2,2018/10/29,sunday
7474,snowmass,Call Plumber,2,2018/10/29,thursday
6736,personal,Pay sprinkler blowout,3,2018/10/29,friday
6735,personal,Pick up skis,3,2018/10/29,friday
6734,personal,Pay permit,3,2018/10/29,friday
6463,personal,Ski with Seb,8,2018/10/29,monday
5966,personal,Wrap Presents,3,2018/10/29,saturday
5813,personal,Menu Groceries,3,2018/10/29,sunday
5812,personal,Deposit check,3,2018/10/29,sunday
5811,personal,Laundry,3,2018/10/29,sunday
5183,personal,Adina Powerpoint,3,2018/10/29,thursday
5182,personal,pay Jerry,3,2018/10/29,thursday
5181,personal,Dog poop,3,2018/10/29,thursday
5180,personal,Water Plant,1,2018/10/29,thursday
4696,personal,Check refund of pajamas,2,2018/10/29,wednesday
4695,personal,Adina Dater,5,2018/10/29,wednesday
4694,personal,Tire fixed,3,2018/10/29,wednesday
3391,health,Wake up 5 am,5,2018/10/29,friday
3390,health,Meditate,5,2018/10/29,friday
3389,health,Run 4 miles,5,2018/10/29,friday
3388,health,Juice,3,2018/10/29,friday
3387,health,IF,5,2018/10/29,friday
3210,health,Wake up 5 am,5,2018/10/29,monday
3209,health,Meditate,5,2018/10/29,monday
3208,health,Juice,3,2018/10/29,monday
3207,health,IF,5,2018/10/29,monday
2992,health,Juice,3,2018/10/29,saturday
2991,health,IF,5,2018/10/29,saturday
2858,health,Juice,3,2018/10/29,sunday
2857,health,IF,5,2018/10/29,sunday
2579,health,Wake up 5 am,5,2018/10/29,thursday
2578,health,Meditate,5,2018/10/29,thursday
2577,health,Juice,3,2018/10/29,thursday
2576,health,IF,5,2018/10/29,thursday
2510,health,Wake up 5 am,5,2018/10/29,tuesday
2509,health,Meditate,5,2018/10/29,tuesday
2508,health,Run 4 Miles,5,2018/10/29,tuesday
2507,health,Juice,3,2018/10/29,tuesday
2506,health,IF,5,2018/10/29,tuesday
2304,health,Wake up 5 am,5,2018/10/29,wednesday
2303,health,Meditate,5,2018/10/29,wednesday
2302,health,Juice,3,2018/10/29,wednesday
2301,health,IF,5,2018/10/29,wednesday
2088,gear lift,Reconcile Armada,3,2018/10/29,friday
2087,gear lift,Reconcile All,5,2018/10/29,friday
2086,gear lift,Change import to new stats,3,2018/10/29,friday
1937,gear lift,Review website again ,5,2018/10/29,monday
1936,gear lift,Fix Wordpress ,3,2018/10/29,monday
1731,gear lift,Fix evo price issue,3,2018/10/29,thursday
1659,gear lift,Email Danny,3,2018/10/29,thursday
1658,gear lift,Purchase & Send banner images,3,2018/10/29,thursday
1657,gear lift,Fix REI price stuff,3,2018/10/29,thursday
1656,gear lift,New scrapes,3,2018/10/29,thursday
1655,gear lift,Review Import,5,2018/10/29,thursday
1654,gear lift,Thank you to Casey,3,2018/10/29,thursday
1653,gear lift,Database state sent to ben,3,2018/10/29,thursday
1563,gear lift,Website review notes,5,2018/10/29,tuesday
1562,gear lift,call with Casey,5,2018/10/29,tuesday
1385,gear lift,Call with Ben,5,2018/10/29,wednesday
1384,gear lift,Venmo Ben,2,2018/10/29,wednesday
5965,personal,Adina work party,8,2018/10/22,saturday
5810,personal,register for joey klien,3,2018/10/22,sunday
5809,personal,work party prep,5,2018/10/22,sunday
4693,personal,water,1,2018/10/22,wednesday
4692,personal,trash,2,2018/10/22,wednesday
4691,personal,dog poop,3,2018/10/22,wednesday
3386,health,Left Legs,5,2018/10/22,friday
3385,health,Meditate,5,2018/10/22,friday
3384,health,Juice,3,2018/10/22,friday
3383,health,IF,5,2018/10/22,friday
3206,health,Wake up 5 am,5,2018/10/22,monday
3205,health,Run 3. 5 Miles,5,2018/10/22,monday
3204,health,Juice,3,2018/10/22,monday
3203,health,IF,5,2018/10/22,monday
2990,health,Juice,3,2018/10/22,saturday
2989,health,IF,5,2018/10/22,saturday
2856,health,Juice,3,2018/10/22,sunday
2855,health,IF,5,2018/10/22,sunday
2575,health,Wake up 5 am,5,2018/10/22,thursday
2574,health,Meditate,5,2018/10/22,thursday
2573,health,Juice,3,2018/10/22,thursday
2572,health,IF,5,2018/10/22,thursday
2505,health,Wake up 5 am,5,2018/10/22,tuesday
2504,health,Meditate,5,2018/10/22,tuesday
2503,health,Juice,3,2018/10/22,tuesday
2502,health,IF,5,2018/10/22,tuesday
2300,health,Wake up 5 am,5,2018/10/22,wednesday
2299,health,Run 4 Miles,5,2018/10/22,wednesday
2298,health,lift chest,5,2018/10/22,wednesday
2297,health,Meditate,5,2018/10/22,wednesday
2296,health,Juice,3,2018/10/22,wednesday
2295,health,IF,5,2018/10/22,wednesday
2085,gear lift,Reply to Casey ,3,2018/10/22,friday
1935,gear lift,Fix BC Details,3,2018/10/22,monday
1934,gear lift,Eliot comments in algorithm,3,2018/10/22,monday
1933,gear lift,Prepare for Coffe with Danny,3,2018/10/22,monday
1932,gear lift,Remove Price diff and ranking,3,2018/10/22,monday
1931,gear lift,Edit flywheel config,3,2018/10/22,monday
1930,gear lift,Email Flywheel,3,2018/10/22,monday
1929,gear lift,Test blog and email danny,3,2018/10/22,monday
1928,gear lift,Debug reverse proxy,3,2018/10/22,monday
1927,gear lift,Clean up repos,2,2018/10/22,monday
1652,gear lift,Backounry Dimenions update,5,2018/10/22,thursday
1561,gear lift,Manually Test Mens Entry Level,3,2018/10/22,tuesday
1560,gear lift,Data uploads,5,2018/10/22,tuesday
1383,gear lift,All skis scrape import datafeed,3,2018/10/22,wednesday
1382,gear lift,Email Ben,2,2018/10/22,wednesday
1381,gear lift,Coffee with Danny,3,2018/10/22,wednesday
1380,gear lift,Prep for Eliot Call,2,2018/10/22,wednesday
1379,gear lift,Email Danny,3,2018/10/22,wednesday
1378,gear lift,Email Casey,3,2018/10/22,wednesday
1377,gear lift,finish data updates,5,2018/10/22,wednesday
5808,personal,Menu Groceries,3,2018/10/15,sunday
5807,personal,Sign up for Lexia,3,2018/10/15,sunday
5806,personal,Laundry,3,2018/10/15,sunday
5087,personal,Dentist,3,2018/10/15,tuesday
4690,personal,Water plant,1,2018/10/15,wednesday
4689,personal,Trash ,2,2018/10/15,wednesday
4688,personal,Dog poop,3,2018/10/15,wednesday
3382,health,Juice,3,2018/10/15,friday
3381,health,IF,5,2018/10/15,friday
3202,health,Juice,3,2018/10/15,monday
3201,health,IF,5,2018/10/15,monday
2988,health,Juice,3,2018/10/15,saturday
2987,health,IF,5,2018/10/15,saturday
2854,health,Juice,3,2018/10/15,sunday
2853,health,IF,5,2018/10/15,sunday
2571,health,Juice,3,2018/10/15,thursday
2570,health,IF,5,2018/10/15,thursday
2501,health,lift arms,5,2018/10/15,tuesday
2500,health,Juice,3,2018/10/15,tuesday
2499,health,IF,5,2018/10/15,tuesday
2294,health,Run 3 miles,5,2018/10/15,wednesday
2293,health,Juice,3,2018/10/15,wednesday
2292,health,IF,5,2018/10/15,wednesday
2084,gear lift,Email Flywheel to set up blog ,3,2018/10/15,friday
2083,gear lift,Setup revesre proxy gem,3,2018/10/15,friday
2082,gear lift,Debug reverse proxy,5,2018/10/15,friday
1926,gear lift,Respond to Chris and Danny,3,2018/10/15,monday
1925,gear lift,Research Flywheel and setting up landing,8,2018/10/15,monday
1924,gear lift,Set up app for gearlift,5,2018/10/15,monday
1923,gear lift,Call with Ben,5,2018/10/15,monday
1730,gear lift,Scale REI  Proportion,2,2018/10/15,thursday
1729,gear lift,REI description,3,2018/10/15,thursday
1728,gear lift,All the b's data reconcilation,5,2018/10/15,thursday
1727,gear lift,Respdon to Eliot SSL,3,2018/10/15,thursday
1651,gear lift,Respond to Flywheel,5,2018/10/15,thursday
1559,gear lift,Setup passworld folder,3,2018/10/15,tuesday
1558,gear lift,Aramada data reconcilaation,3,2018/10/15,tuesday
1557,gear lift,Fix evo frontside scarpe,3,2018/10/15,tuesday
1556,gear lift,Fix name space issue with evo,3,2018/10/15,tuesday
1555,gear lift,Filter production data,3,2018/10/15,tuesday
1376,gear lift,Email eliot about SSL,3,2018/10/15,wednesday
1375,gear lift,Filter data production armada,3,2018/10/15,wednesday
1374,gear lift,Replace biding ski space,3,2018/10/15,wednesday
1373,gear lift,Atomic database recommendation,3,2018/10/15,wednesday
7457,snowmass,call ram pest control,3,2018/10/08,tuesday
5805,personal,Laundry,3,2018/10/08,sunday
5179,personal,Order achrilic,3,2018/10/08,thursday
5178,personal,dog poop,3,2018/10/08,thursday
5086,personal,Return jammies,3,2018/10/08,tuesday
5085,personal,pay lawn service,3,2018/10/08,tuesday
5084,personal,Return skis boots,3,2018/10/08,tuesday
5083,personal,return patagonia stuff,3,2018/10/08,tuesday
4687,personal,heat treat boots,5,2018/10/08,wednesday
3380,health,Juice,3,2018/10/08,friday
3379,health,IF,5,2018/10/08,friday
3200,health,Juice,3,2018/10/08,monday
3199,health,IF,5,2018/10/08,monday
2986,health,Juice,3,2018/10/08,saturday
2985,health,IF,5,2018/10/08,saturday
2852,health,Juice,3,2018/10/08,sunday
2851,health,IF,5,2018/10/08,sunday
2569,health,Juice,3,2018/10/08,thursday
2568,health,IF,5,2018/10/08,thursday
2498,health,lift chest,5,2018/10/08,tuesday
2497,health,Juice,3,2018/10/08,tuesday
2496,health,IF,5,2018/10/08,tuesday
2291,health,Juice,3,2018/10/08,wednesday
2290,health,IF,5,2018/10/08,wednesday
2081,gear lift,Draft ND and Send,5,2018/10/08,friday
2080,gear lift,Sign collab agreement,3,2018/10/08,friday
1922,gear lift,Meet with Chris onant,3,2018/10/08,monday
1921,gear lift,Call with Ben,3,2018/10/08,monday
1920,gear lift,Respond to Ben,2,2018/10/08,monday
1919,gear lift,work on width range for Algorithm,8,2018/10/08,monday
1650,gear lift,Send ben email,3,2018/10/08,thursday
1649,gear lift,Thank you note to Chris onana,3,2018/10/08,thursday
1648,gear lift,Draft email to Ben,5,2018/10/08,thursday
1554,gear lift,Practive talk,3,2018/10/08,tuesday
1553,gear lift,Run through expectations,3,2018/10/08,tuesday
1552,gear lift,Import production data,3,2018/10/08,tuesday
1551,gear lift,sketch out algorithm,3,2018/10/08,tuesday
1550,gear lift,NDA,3,2018/10/08,tuesday
1549,gear lift,create questions,3,2018/10/08,tuesday
1372,gear lift,Create list of questions for chris,5,2018/10/08,wednesday
7658,snowmass,pay sprinkler blowout,2,2018/10/01,friday
7657,snowmass,pay pest control,2,2018/10/01,friday
7656,snowmass,Reply to renee,2,2018/10/01,friday
7655,snowmass,Check finances,3,2018/10/01,friday
7654,snowmass,Pay lawn ,2,2018/10/01,friday
