key,site,name,date,value_1952,value_1953,value_1954,value_1955,value_1956,value_1957,value_1958,value_1959,value_1960,value_1961,value_1962,value_1963,value_1964,value_1965,value_1966,value_1967,value_1968,value_1969,value_1970,value_1971,value_1972,value_1973,value_1974,value_1975,value_1976,value_1977,value_1978,value_1979,value_1980,value_1981,value_1982,value_1983,value_1984,value_1985,value_1986,value_1987,value_1988,value_1989,value_1990,value_1991,value_1992,value_1993,value_1994,value_1995,value_1996,value_1997,value_1998,value_1999,value_2000,value_2001,value_2002,value_2003,value_2004,value_2005,value_2006,value_2007,value_2008,value_2009,value_2010,value_2011,value_2012,value_2013,value_2014,value_2015,value_2016,value_2017,value_2018
gunnison,9163500,m-03,1955-01-01,2344,280,172,254,89,178,583,359,478,191,314,324,60,500,280,318,222,335,498,519,63,384,527,375,438,119,386,534,260,458,532,547,369,229,596,134,175,442,259,747.5,691.8,691.8,691.8,691.8,747.5,747.5,691.8,691.8,95,436,309,236,158,431,201,245,414,357,538,226,343,539,367,578,189,171,345
gunnison,9163500,m-04,1956-01-01,3056,2038,1147,1340,1961,3167,2216,1675,1953,1453,3201,1388,1321,2188,1487,1484,1735,1846,2638,2625,1916,2430,2519,2177,1723,1117,1983,2320,2180,1203,1891,3258,4173,2873,2938,1760,1742,1462,1305,1613,1422,1422,1422,1422,1613,1613,1422,1422,3242,1393,898.1,2119,1770,1635,1913,1770,2605,2484,2097,3942,1770,1314,2944,898.1,2097,2019,1770
gunnison,9163500,m-05,1957-01-01,9431,5211,0,0,0,0,0,0,0,0,0,0,0,0,0,2658,2977,3090,4066,4200,3192,4004,3785,3435,2724,1638,3304,3956,3758,2025,3294,4969,6276,4820,4797,3072,2722,2364,2153,2751,2345,2345,2345,2345,2751,2751,2345,2345,4908,2294,1523,3427,2913,2875,3129,2913,4084,3936,3336,5631,2913,2186,4326,1523,3336,3297,2913
gunnison,9163500,m-06,1958-01-01,5689,3554,2144,2730,3328,5819,4009,3022,3391,2606,5526,2416,2621,4353,2702,2917,3324,3558,4525,4644,3523,4483,4043,3995,3131,1937,3550,4262,4188,2142,3602,6076,7605,5945,5740,3586,2967,2568,2269,3003,2571,2571,2571,2571,3003,3003,2571,2571,5738,2679,1751,3821,3223,3544,3628,3223,4800,4457,3642,6471,3223,2318,4701,1751,3642,3483,3223
gunnison,9163500,m-07,1959-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2146,1999,1999,1999,1999,2146,2146,1999,1999,5114,1776,938.2,3056,2454,2985,3000,2454,4225,3701,2948,5918,2454,1500,3881,938.2,2948,2729,2454
gunnison,9163500,m-08,1988-01-01,9431,5211,2881,4009,4607,10390,7492,4110,5164,3812,8558,3571,4287,7893,4087,3952,5128,5978,7580,7424,4760,7451,6004,6551,4594,2559,5338,7817,7214,3723,6248,11100,13470,10690,10380,7190,4835,3885,3096,50.3,50.3,50.3,50.3,50.3,50.3,50.3,50.3,50.3,50.3,50.3,50.3,50.3,50.3,50.3,50.3,50.3,50.3,50.3,50.3,50.3,50.3,50.3,50.3,50.3,50.3,50.3,50.3
eagle,9163500,m-01,1952-01-01,343,127,449,346,50,221,280,442,366,111,103,173,56,397,148,235,322,449,187,434,242,100,156,338,221,271,452,282,337,298,375,120,162,113,345,358,295,140,124,112,121,308,337,338,435,286,430,425,266,374,431,250,333,261,236,352,151,181,266,142,230,464,141,301,477,358,195
eagle,9163500,m-02,1954-01-01,496,393,420,202,271,474,409,125,277,468,378,345,80,249,219,61,329,230,222,148,410,87,54,232,100,350,319,429,98,312,80,480,318,97,236,321,264,483,85,414,166,378,294,102,159,191,193,257,466,297,449,427,341,318,450,228,410,419,140,339,303,370,444,249,348,320,63
eagle,9163500,m-03,1955-01-01,255,295,255,234,124,405,443,428,276,161,160,442,435,135,424,463,367,404,407,478,124,268,160,209,341,392,167,292,450,166,432,103,207,399,467,353,275,232,106,127,282,260,370,114,62,198,469,497,369,166,134,398,276,378,374,314,185,303,397,265,61,185,247,174,336,208,270
eagle,9163500,m-04,1956-01-01,421,374,233,464,348,79,346,465,143,54,473,77,74,262,142,167,239,85,162,493,107,61,461,267,156,269,51,496,168,325,425,438,439,420,399,282,344,445,344,430,104,326,310,105,160,289,311,297,371,481,256,161,292,159,341,368,159,172,51,307,438,421,245,202,151,483,475
eagle,9163500,m-05,1957-01-01,254,68,340,276,233,193,363,339,275,298,57,354,194,90,343,149,321,214,75,70,472,89,429,316,327,404,227,123,82,195,476,432,270,78,241,407,100,449,256,262,58,334,399,339,419,145,415,330,90,432,346,369,408,173,244,183,151,239,325,247,491,402,361,193,489,218,200
eagle,9163500,m-06,1958-01-01,359,274,366,377,312,437,335,499,268,181,200,192,486,388,63,153,480,213,90,68,97,58,473,135,475,167,116,231,492,154,404,141,372,469,65,93,122,445,287,186,210,319,452,420,460,341,163,176,280,226,405,442,98,361,474,192,367,102,194,486,492,427,144,498,209,71,387
eagle,9163500,m-07,1959-01-01,191,252,323,159,428,251,267,165,329,175,384,266,121,425,242,87,139,320,172,456,463,180,467,122,331,500,243,127,413,273,295,50,338,402,309,461,225,159,174,214,305,477,101,100,251,278,374,425,283,481,484,476,288,455,211,210,336,289,74,283,307,359,371,449,389,209,53
eagle,9163500,m-08,1988-01-01,348,116,315,212,329,246,145,302,383,417,214,94,117,416,401,131,469,82,80,377,403,439,285,425,342,349,59,469,141,288,74,187,129,320,210,455,397,357,98,73,441,222,455,316,446,309,178,253,113,300,257,441,201,63,486,155,155,314,331,269,161,373,283,482,476,221,456
